Device ID,HHID,Date,Fingerprints Events,Recognized Images Events,Membership Events,Wifi Connected Events,Wifi Disconnected Events
IM000101,HH1065,2026-02-12,0,0,0,4,0
IM000102,HH1765,2026-02-12,0,3881,0,20,0
IM000103,HH1755,2026-02-12,0,0,0,0,0
IM000104,HH1443,2026-02-12,0,0,0,0,0
IM000105,HH1738,2026-02-12,0,1,2,49,0
IM000106,HH1744,2026-02-12,0,0,8,0,0
IM000107,HH1746,2026-02-12,0,0,0,0,0
IM000108,HH1768,2026-02-12,0,0,0,64,0
IM000109,HH1275,2026-02-12,0,0,0,0,0
IM000110,HH1088,2026-02-12,0,0,0,0,0
IM000111,HH1072,2026-02-12,0,6763,0,0,0
IM000112,HH1777,2026-02-12,0,6718,0,2,0
IM000113,HH1024,2026-02-12,0,0,0,0,0
IM000114,HH1082,2026-02-12,0,0,0,0,0
IM000115,HH1772,2026-02-12,0,0,0,0,0
IM000116,HH1500,2026-02-12,0,0,0,0,0
IM000117,HH1775,2026-02-12,0,0,2,0,0
IM000118,HH1088,2026-02-12,0,0,0,0,0
IM000119,HH1751,2026-02-12,0,0,6,18,0
IM000120,HH1085,2026-02-12,0,0,0,0,0
IM000121,HH1747,2026-02-12,0,7369,0,0,0
IM000122,HH1742,2026-02-12,0,0,0,0,0
IM000123,HH1764,2026-02-12,0,0,0,2,0
IM000124,HH1762,2026-02-12,0,0,0,0,0
IM000125,HH1088,2026-02-12,0,0,0,0,0
IM000126,HH1810,2026-02-12,0,0,0,0,0
IM000127,HH1071,2026-02-12,0,0,0,0,0
IM000128,HH1776,2026-02-12,0,0,0,0,0
IM000129,HH1767,2026-02-12,0,1237,3,0,0
IM000130,HH1236,2026-02-12,0,0,0,0,0
IM000131,HH1081,2026-02-12,0,0,0,0,0
IM000132,HH1753,2026-02-12,0,7,3,2,0
IM000133,HH1304,2026-02-12,0,0,0,0,0
IM000134,HH1290,2026-02-12,0,0,2,4117,0
IM000135,HH1244,2026-02-12,0,0,0,0,0
IM000136,HH1316,2026-02-12,0,0,14,409,0
IM000137,HH1255,2026-02-12,0,2,0,0,0
IM000139,HH1783,2026-02-12,0,0,0,1,0
IM000140,HH1306,2026-02-12,0,0,0,0,0
IM000141,HH1282,2026-02-12,0,0,0,0,0
IM000142,HH1243,2026-02-12,0,1,0,0,0
IM000143,HH1265,2026-02-12,0,0,0,12,0
IM000144,HH1239,2026-02-12,0,0,4,0,0
IM000145,HH8888,2026-02-12,0,0,0,0,0
IM000146,HH1318,2026-02-12,0,0,0,16,0
IM000147,HH1780,2026-02-12,0,3,1,15,0
IM000148,HH1289,2026-02-12,0,0,2,0,0
IM000149,HH1305,2026-02-12,0,0,0,0,0
IM000151,HH1231,2026-02-12,0,0,0,0,0
IM000152,HH1307,2026-02-12,0,0,0,0,0
IM000153,HH1319,2026-02-12,0,0,0,5,0
IM000154,HH1310,2026-02-12,0,7440,2,0,0
IM000155,HH1323,2026-02-12,0,987,0,44,0
IM000156,HH1250,2026-02-12,0,2207,1,0,0
IM000157,HH1331,2026-02-12,0,3,1,0,0
IM000158,HH1303,2026-02-12,0,0,0,0,0
IM000159,HH1317,2026-02-12,0,0,0,0,0
IM000160,HH1207,2026-02-12,0,0,0,0,0
IM000161,HH1549,2026-02-12,0,516,5,0,0
IM000162,HH1341,2026-02-12,0,0,0,28,0
IM000163,HH1680,2026-02-12,0,0,0,0,0
IM000164,HH1337,2026-02-12,0,7449,0,11,0
IM000165,HH1336,2026-02-12,0,2444,5,0,0
IM000166,HH1491,2026-02-12,0,0,0,2,0
IM000167,HH1321,2026-02-12,0,2868,0,4,0
IM000168,HH1335,2026-02-12,0,0,1,2,0
IM000169,HH1546,2026-02-12,0,0,0,0,0
IM000170,HH1542,2026-02-12,0,5428,0,14,0
IM000171,HH1273,2026-02-12,0,1643,3,0,0
IM000172,HH1543,2026-02-12,0,6203,1,12,0
IM000173,HH1745,2026-02-12,0,0,1,63,0
IM000174,HH1547,2026-02-12,0,0,0,0,0
IM000175,HH1308,2026-02-12,0,0,0,2,0
IM000176,HH1320,2026-02-12,0,0,0,0,0
IM000177,HH1548,2026-02-12,0,0,0,5,0
IM000178,HH1545,2026-02-12,0,0,0,0,0
IM000179,HH1391,2026-02-12,0,0,0,0,0
IM000180,HH1484,2026-02-12,0,0,0,0,0
IM000181,HH1393,2026-02-12,0,7208,0,10,0
IM000182,HH1351,2026-02-12,0,0,0,2,0
IM000183,HH1354,2026-02-12,0,0,0,0,0
IM000184,HH1339,2026-02-12,0,0,1,20,0
IM000185,HH1338,2026-02-12,0,0,1,2,0
IM000186,HH1364,2026-02-12,0,1231,1,30,0
IM000187,HH1371,2026-02-12,0,0,0,6,0
IM000188,HH1406,2026-02-12,0,13,0,0,0
IM000189,HH1390,2026-02-12,0,0,8,51,0
IM000190,HH1368,2026-02-12,0,10,0,0,0
IM000191,HH1362,2026-02-12,0,0,0,0,0
IM000192,HH1387,2026-02-12,0,0,0,2,0
IM000193,HH1832,2026-02-12,0,4258,10,0,0
IM000194,HH1374,2026-02-12,0,0,0,0,0
IM000196,HH1482,2026-02-12,0,5,2,24,0
IM000197,HH1399,2026-02-12,0,0,0,0,0
IM000198,HH1359,2026-02-12,0,0,3,18,0
IM000199,HH1481,2026-02-12,0,0,0,0,0
IM000200,HH1400,2026-02-12,0,31,0,36,0
IM000201,HH1389,2026-02-12,0,0,2,0,0
IM000202,HH1355,2026-02-12,0,6921,0,158,0
IM000204,HH1506,2026-02-12,0,0,0,0,0
